gene_id	orgP10_1	orgP10_2	orgP10_3	P27RE_1	P27RE_2	P27RE_3	P29_1	P29_2	P29_3	P42RE_1	P42RE_2	P42RE_3	P11_1	P11_2	P11_3	p26RE1	p26RE2	p26RE3	P12_1	P12_2	P12_3	P16RE_1	P16RE_2	P16RE_3				
ABCG1	0.146994262	0.14263912	0.168844754	1.431882738	0.952413836	1.804043509	4.014813341	4.56573361	4.819318624	0.319397486	0.359847473	0.318395147	0.033606719	0.004308234	0.024358645	0	0.005943234	0.017206732	4.222488478	3.66149873	4.164733074	4.239261129	3.534083321	3.673971123				
ABCG2	3.42956103	3.777826231	4.081839795	12.0785746	11.22075003	11.90782461	27.97876373	27.35299805	27.05316859	24.42096374	21.68079039	22.30350158	7.553448296	7.42820032	7.333133228	1.623691947	1.317502995	1.718838294	2.098547166	1.790366512	1.500889575	2.246574642	2.533680036	1.911321809				
ABCG4	0	0	0	0	0.021934856	0	0	0	0	0	0	0	0.031781953	0	0.010238235	0.150875026	0.044964243	0.028928794	0.011561975	0	0.013362503	0.00971898	0.009913803	0.011625205				
ABCG5	0.023150991	0.043480788	0.088641178	0.022476641	0.010274059	0	0.209376346	0.14250145	0.186644959	0.100607577	0.050006907	0.068380806	0.347347862	0.580142401	0.594639869	0.015704066	0.070202615	0.121949523	0	0.011322074	0.025035432	0.018209077	0.01857409	0				
ABCG8	0.407159318	0.318625817	0.335605843	0	0	0	0.010228688	0	0.021454561	0	0	0	0.300594181	0.397779166	0.327984008	0.076719259	0.027436934	0.026478287	0	0	0.012230589	0.026687106	0	0.021280908				
ABHD1	0.027896082	0.078589097	0.10680932	0.568753838	0.618992914	0.834189755	0.883017464	0.634002251	1.375860223	1.575969013	2.229489096	1.746802108	0	0.04905614	0.161794592	0.075691259	0.236856308	0	1.174587689	0.818560666	0.633502026	1.689477051	1.38762741	1.600926302				
ABHD10	15.72227342	15.5109256	16.1339481	18.96942684	17.95928706	17.57120944	21.08603419	22.56806825	24.58352797	18.46316243	17.98925992	18.19974008	16.73429216	19.55640902	17.02872556	18.1209371	17.91312571	18.24118013	18.058755	19.57738732	19.40939996	24.79478804	26.23268403	24.49674864				
ABHD11	3.031975633	2.981399436	2.871838979	8.46109388	8.397326749	7.891791986	11.32732538	11.57495755	9.831805459	14.5213016	16.4072084	16.71070089	2.939700516	3.056726758	2.669999155	3.23039863	3.331057593	3.456235224	4.144062128	4.564845375	4.068423774	3.770662296	3.973606874	3.688821003				
ABHD12	18.78126878	19.37246855	19.9378847	33.89815714	37.28511886	34.54144171	21.36762517	20.21343843	23.15141577	23.96805658	27.06342423	27.28455729	48.00646126	47.47696421	49.995022	35.17037182	35.84741838	35.14063162	35.33365738	34.91620307	33.54394838	30.72289892	29.04111809	29.35510945				
ABHD12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030141875	0	0	0	0	0	0	0	0				
ABHD13	2.579855882	2.414773085	2.759034509	3.075815282	3.110252003	2.717095022	4.126814358	3.787916225	3.108489704	3.925786168	4.047830758	4.20966512	3.184463956	3.35454087	3.000938443	3.648207799	4.148539012	3.619952711	4.961535974	5.31799289	4.934491416	5.743745687	6.721871305	6.474992373				
ABHD14A	1.877068968	2.096182119	1.748183226	3.989563249	4.457754567	4.598560429	2.064662418	1.921652431	2.020949922	2.480231017	3.835367316	2.697215469	3.958010082	4.817507791	4.203405153	3.303636548	3.138284999	2.137858786	6.028537154	5.210197742	5.705547733	8.698680014	7.570584563	8.782023967				
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
ABHD14B	15.24629071	16.28839931	14.94711404	20.37820652	19.48956467	21.05857397	14.93598237	15.3770044	17.37044704	19.62120222	18.38440234	18.17662273	25.88566829	26.93276715	24.97819612	28.53843111	32.48169288	30.48278811	14.00674264	13.64911563	13.89323655	13.46123786	13.78659363	13.45404004				
ABHD15	1.670448911	1.631414683	1.902769149	8.271136796	8.465873193	7.789425017	11.60252334	10.26630676	10.06085011	18.29341743	17.51793234	18.17680089	12.97532944	13.14547844	14.51882372	14.23198116	13.06882707	12.41666406	12.36344201	11.7639209	12.60881052	8.789773243	8.510300351	8.030681223				
ABHD16A	11.41884133	11.65923055	12.03622859	10.97624715	9.632288205	9.950869199	7.92976834	8.152887338	5.651646716	6.498251916	8.270630513	8.137475756	19.03595089	20.6182602	19.57936294	16.6288144	17.50550457	19.67856454	18.14658811	19.98869498	17.73844583	24.2887807	21.61281427	20.91022946				
ABHD16B	0	0.029721665	0	0	0	0	0	0	0.060038946	0	0	0.074787656	0.027135155	0	0.026223947	0	0	0	0.059229084	0.030957202	0.034226367	0.074681824	0.07617887	0				
ABHD17A	5.808966144	6.090267223	4.974539505	7.203465118	7.443120795	6.732800687	4.738920633	4.524784849	3.971860101	6.730983222	7.085544135	7.573568076	8.588952916	9.072879277	9.759576089	7.909953467	7.632079669	8.069276861	7.52511451	7.960808689	6.897211174	10.00779237	8.855899098	8.849199285				
ABHD17B	5.647891423	6.689545225	6.29225429	6.316955416	5.8702097	5.691565705	5.823760597	6.059809403	6.540261576	5.057487671	4.621951069	4.628195725	5.325277359	5.673740702	5.435454303	4.877660357	5.207124008	5.292150087	7.217749462	7.413769724	6.818480442	5.961712753	6.038166291	5.780534672				
ABHD17C	14.48137642	13.24115288	14.06686662	37.92380818	40.52572838	40.41976323	20.44233536	19.21685001	14.66151051	13.97336932	13.04201333	13.81695609	14.41676975	15.99999276	14.01158799	15.38104118	14.58953131	14.21917658	64.07281831	66.06917611	66.7100898	58.50548763	56.5634563	57.56634508				
ABHD18	4.019674236	3.957403697	4.116583535	4.608970239	4.315815648	4.806473241	3.016446891	2.326201764	2.425564168	1.283516991	1.415984386	1.37027318	4.119452421	4.053748469	4.16614929	3.528063393	3.591221398	3.499473945	5.210337651	4.896974757	5.328417659	3.983183739	3.681578426	3.517404431				
ABHD2	13.82926475	13.04777025	13.70760833	29.23712465	32.79485584	30.98365576	82.39603512	80.19489123	75.0636111	36.81871916	34.42847381	34.24394426	56.71023956	55.46483784	59.10092963	59.17514198	59.60345267	57.47241901	95.5565713	97.22064593	97.77981939	42.66174224	40.43095466	42.52245417				
ABHD3	13.42902696	12.46988966	12.3875824	12.60083856	16.64692322	13.88124318	17.57313769	18.40041513	13.44872381	18.56312183	18.35228471	16.75243498	17.18961804	16.34275771	16.48806359	18.44769241	17.17600563	17.93707352	19.58508375	19.55577939	19.24789468	23.20484126	22.69189836	22.48015185				
ABHD4	7.262259278	6.904170737	7.674165943	6.509701081	6.318122238	7.021636202	45.2765803	45.53554236	58.92395303	53.53040574	50.78769955	53.92345467	19.29530785	16.6748912	18.45374172	17.58321022	19.44907443	18.41180838	30.41014747	30.55811483	32.23000769	29.52155539	26.47896628	27.61689565				
ABHD5	2.351715257	1.99191234	2.04804023	3.993385575	4.894949249	3.972986958	2.518891914	1.973737251	1.714464052	2.645145694	2.410406775	2.898349907	7.535194292	7.784593758	7.794126937	9.033463054	9.922289063	9.29492128	6.359775117	6.494765187	6.522405605	6.441334874	7.103195275	7.132054661				
ABHD6	5.163348873	5.356909861	5.071889607	8.340321525	9.465849203	7.901306579	8.972360139	8.967711343	10.58592816	15.16309135	14.17259541	14.01220085	17.4365084	15.80063255	18.15871026	17.00761038	17.64003333	18.21138966	13.4811382	13.54100069	13.84936373	12.73323598	12.50005719	13.95790283				
ABHD8	3.953568928	4.394597033	4.762660788	4.256193993	4.487787479	3.870475821	4.110708848	4.304225609	4.285574189	5.551709023	6.390356369	6.164506746	8.324078747	7.496376779	9.002768687	4.962304467	4.534511204	4.722383442	9.613135372	10.8644672	9.568709635	11.57118034	11.22052786	12.24660276				
